from_stop_id,to_stop_id,weight_seconds,type
1.530,E.1053011,60,PW
1.530,E.1053012,60,PW
1.530,E.53001,60,PW
1.530,E.53002,60,PW
1.530,E.53011,60,PW
1.530,E.53012,60,PW
1.531,1.530,101,SW
1.531,1.532,109,SW
1.531,E.1053111,60,PW
1.531,E.53101,60,PW
1.531,E.53102,60,PW
1.531,E.53111,60,PW
1.532,1.531,98,SW
1.532,1.533,100,SW
1.532,E.1053201,60,PW
1.532,E.1053211,60,PW
1.532,E.53201,60,PW
1.532,E.53211,60,PW
1.532,E.53212,60,PW
1.533,1.532,107,SW
1.533,1.534,110,SW
1.533,E.1053301,60,PW
1.533,E.1053311,60,PW
1.533,E.53301,60,PW
1.533,E.53302,60,PW
1.533,E.53311,60,PW
1.534,1.333,45,TF
1.534,1.533,105,SW
1.534,E.1053401,60,PW
1.534,E.53401,60,PW
1.534,E.53402,60,PW
1.901,1.903,268,SW
1.901,E.90101,60,PW
1.903,1.901,276,SW
1.903,1.904,113,SW
1.903,E.1090301,60,PW
1.903,E.90301,60,PW
1.904,1.903,109,SW
1.904,1.905,146,SW
1.904,E.1090401,60,PW
1.904,E.90401,60,PW
1.905,1.904,150,SW
1.905,1.906,111,SW
1.905,E.1090501,60,PW
1.905,E.90501,60,PW
1.905,E.90511,60,PW
1.906,1.905,110,SW
1.906,1.907,114,SW
1.906,E.1090601,60,PW
1.906,E.90601,60,PW
1.906,E.90602,60,PW
1.907,1.906,117,SW
1.907,1.909,177,SW
1.907,E.1090701,60,PW
1.907,E.90701,60,PW
1.909,1.907,180,SW
1.909,1.910,130,SW
1.909,E.1090901,60,PW
1.909,E.90901,60,PW
1.909,E.90902,60,PW
1.910,1.909,126,SW
1.910,1.911,145,SW
1.910,E.1091001,60,PW
1.910,E.91001,60,PW
1.911,1.910,147,SW
1.911,1.912,135,SW
1.911,E.1091101,60,PW
1.911,E.91101,60,PW
1.911,E.91102,60,PW
1.912,1.911,141,SW
1.912,1.913,97,SW
1.912,E.1091201,60,PW
1.912,E.91201,60,PW
1.912,E.91202,60,PW
1.913,1.912,95,SW
1.913,1.9140,100,SW
1.913,E.1091301,60,PW
1.913,E.1091311,60,PW
1.913,E.91301,60,PW
1.913,E.91311,60,PW
1.9140,1.913,97,SW
1.9140,1.9150,112,SW
1.9140,1.9141,15,TF
1.9140,E.1091401,60,PW
1.9140,E.91401,60,PW
1.9150,1.117,45,TF
1.9150,1.9140,113,SW
1.9150,1.9160,100,SW
1.9150,1.9151,15,TF
1.9160,1.515,120,TF
1.9160,1.9150,167,SW
1.9160,1.918,129,SW
1.9160,1.9161,15,TF
1.9160,E.1091601,60,PW
1.9160,E.91601,60,PW
1.918,1.314,45,TF
1.918,1.9160,126,SW
1.918,E.1091801,60,PW
1.918,E.91801,60,PW
1.9300,1.133,150,TF
1.9300,1.526,90,TF
1.9300,1.9320,183,SW
1.9300,1.9301,15,TF
1.9320,1.9300,152,SW
1.9320,1.9330,149,SW
1.9320,1.9321,15,TF
1.9320,E.1093201,60,PW
1.9320,E.93201,60,PW
1.9330,1.9320,148,SW
